title,brand,description,price/currency,price/value,stars,reviewsCount
"65W Universal USB C Chromebook Charger,Replacement Lenovo Yoga Google Asus Acer Dell Laptop Charger,AC Adapter Compatible with Lenovo X1 Thinkpad 45W Type C Charger",NELEBUTO,,$,13.69,4.2,55.0
"EMPSIGN Laptop Tote bag for women 16 Inch, Stylish Computer Shoulder Tote Bag for Work, Large Capacity Quilted Laptop Briefcase, Waterproof Women Business Office Bag, Quilted Black",EMPSIGN,,$,31.99,4.9,58.0
"100Pcs Mario Stickers, Cartoon Game Mario Stickers for Kids, Mario Bros Decal Gifts, Waterproof Vinyl Stickers for Teen Adut Water Bottle, Laptop, Skateboard",MOQIAN,"100Pcs Japanese Cartoon Game Mari Stickers for Adult Girl Boy Notebook, Computer, Luggage, Phone, Scrapbook, Guitar, Bike, Car, Helmet, Snowboard, Bumper, Cup.",$,5.99,4.6,42.0
"USB Docking Station, JESWO USB 3.0 Laptop Docking Station Dual Monitor (Dual Video HDMI & VGA, Gigabit Ethernet, Audio, and More USB Ports)-Grey",JESWO,,$,79.99,4.2,39.0
ANCBD C31N1824 Battery for Asus Chromebook Flip C434 C434TA Series C434TA-AI0029 C434TA-AI0045 C434TA-AI0081 C434TA-DH342T C434TA-E10001 0B200-03290000 3ICP3/91/91 C31PnC1 11.55V 48Wh/4160mAh,ANCBD,"Specification: Battery Rating: 11.55V Battery Capacity:48Wh/4160mAh Battery Type: Li-Polymer battery Condition: new battery Battery Color: Black Warranty: 12 Months Compatible Part Numbers: C31N1824 0B200-03290000 3ICP3/91/91 C31PnC1. Compatible Machine Models: For ASUS Chromebook Flip C434 Series: For ASUS Chromebook Flip C434TA Series: C434, C434TA, C434TA-1A C434TA-AI0029, C434TA-AI0030, C434TA-AI0033, C434TA-AI0040, C434TA-AI0041, C434TA-AI0043, C434TA-AI0043P C434TA-AI0045, C434TA-AI0051, C434TA-AI0060, C434TA-AI0062, C434TA-AI0063, C434TA-AI0064, C434TA-AI0080 C434TA-AI0081, C434TA-AI0084, C434TA-AI0089, C434TA-AI0094, C434TA-AI0095 C434TA-AI0107, C434TA-AI0108, C434TA-AI0109, C434TA-AI0110, C434TA-AI0115, C434TA-AI0121, C434TA-AI0122 C434TA-AI0207, C434TA-AI0225, C434TA-AI0234, C434TA-AI0259, C434TA-AI0264, C434TA-AI0276, C434TA-AI0278, C434TA-AI0296 C434TA-AI0303, C434TA-AI0304, C434TA-AI0362, C434TA-AI0364, C434TA-AI0390, C434TA-AI0394, C434TA-AI3860 C434TA-AI0403, C434TA-AI0476, C434TA-AI0477, C434TA-AI0485, C434TA-AI049, C434TA-AI0499 C434TA-AI0543, C434TA-AI0544,C434TA-AIZ030, C434TA-AIZ032 C434TA-DH342T, C434TA-DS384, C434TA-DS384T, C434TA-DS584, C434TA-DS588T, C434TA-DSM4T C434TA-E10001, C434TA-E10008, C434TA-E10011, C434TA-E10012, C434TA-E10013, C434TA-E10022 C434TA-GE384T, C434TA-GE588T, C434TA-I5-VEOUK, C434TA-M3-VEOUK, C434TA-YZ588T Compatible Part Numbers: BP3S1P2160, BP3S1P2160-S, BP3S1P2290, BP3S1P2290 A, GBM3X2 242857100001, 242888700087, 441857100001, 441888700086, 2ICP7/64/84, 3ICP6/51/61. Compatible Machine Models: Fit for Getac F110 Tablet PC Series: Getac F110 Getac F110 G2 Getac F110 G3 Getac F110 G4 F110, F110 G2 F110 GGA 734020 F110 G2-Core i5 5300U 2 3 GHZ",$,46.99,,
New 20V 14A 280W USB Charger Replacement fit for MSI GE66 GE76 Raider GP76 GP66 Leopard WE76 WE76-11UX Stealth GS77 GT76 Clevo X170SM-G X170KM-G ADP-280BB B A18-280P1A S93-0409330-C54,QEYNIU,,$,98.99,,
"Litwaro Desk Side Storage Organizer, Under Desk Laptop Holder Clamp on Desk Shelf, No Drill Laptop Desk Mount with Magnetic Pen Holder, Hanging Desk Organizer Fits Flat Edge Desk 0.4"" to 2""",Litwaro,,$,32.99,4.6,31.0
"50PCS Singer Stickers for Adults, Waterproof Vinyl Decal Stickers for Water Bottle, Laptop, Skateboard,Funny Music Decorations Stickers for Kids,Teens,Girls,",JSYAVG,"Quantity: 50Pcs/pack.Non-duplicateMaterial: Sun Protection and Waterproof PVCSize :2-3.5inchFeatures:Good stickiness and can be reused.Anti-wrinkling,safe and non-toxic.Sun protection,waterproof and durable!Easy to remove and do not leave a residue.100% new with high-definition printing clear and color balanced.Every sticker is different.No repeats.All as shown in picture!Perfect for kids to DIY their personal belongings such as waterbottle laptop or Skateboard ,Bikes ,etcHow to use:Clean the surface and keep it have no water, then stick on wherever you like.Do you want to have a different state yourself? Come and have these inspirational stickers and meet a different you!",$,5.99,5.0,1.0
"100 Pieces Cute Dog Stickers Puppy Decals Waterproof Vinyl Gifts for Laptop, Water Bottle,Phone, Luggage, Teens Adults Kids Boys Girls Birthday Party Supplies Decoration",ROTY,"Package Include:100pcs Stickers  Performance: Sun-proof and Waterproof  Surprise Gifts:Great gifts for your kids, friends, lovers, and family on Christmas, children's day, Easter, Valentine's day, birthday, etc.  Personalized Decoration:These stickers pack can be used on electronic products such as Water Bottle, Laptop, Suitcase, Headset, Luggage, Helmet, Car, Bicycle, Fridge, Table, Phone Case, Cooler, Surfboard, computers, Swimming Ring, Lunch Boxes, Skateboard, Guitar, Binder, Scrapbooking, Diary, Desks, Walls, Window, Room and Furniture, etc.",$,7.99,4.5,15.0
"200 PCS Water Bottle Stickers for Kids Teens, Vinyl Waterproof Cute Vsco Stickers, Laptop Phone Scooter Luggage Stickers Hydroflask Stickers for Kids Teen Girls",Lonisiv,,$,4.19,3.9,8.0
